word,definition
heckin',"a conjugation of heck, a dog's favorite swear word"
hecc,"an alternate spelling of heck, a dog's favorite swear word"
heck,Heck is a dog’s favorite swear word – although they don’t really know any others.
angery,Alternative spelling of angry. Used when a dog is snarling and showing an angry face – like when they discover you have placed a pill in their cheese.
awoo,The adorable sound a doggo makes when they howl.
bamboozle,To fool or be fooled by a doggo. Doggos in disguise are often trying to bamboozle you
blep,"A blep is when your dog has a small portion of their tongue hanging out, usually without opening their mouth fully – always by accident, and often as a “sleppy blep.”"
blop,"A blop is when your dog has a small portion of their tongue hanging out, usually without opening their mouth fully – always by accident, and often as a “sleppy blep.”"
boi,"Alternative spelling of boy. Usually refers to a male dog, but any dog can be a good boi – that is unless they want to be called a good gurl."
boof,"A boof is that huffy sound a dog makes when they are on the verge of barking. Also known as a “pre-bark,” a boof is usually made when they are unsure of whether to bark or not. "
boop,The act of gently and playfully tapping your heckin’ cute doggo on the snoot.
doin ,Popular expression in DoggoLingo that is a rudimentary way of creating verb phrases.
bork,"A bork is a bark. Dogs are known to bork at other dogs, squirrels, mail carriers, vacuum cleaners, and more!"
chimkin,Alternative spelling of chicken. An excellent source of protein for good bois and gurls. 
chimken,Alternative spelling of chicken. An excellent source of protein for good bois and gurls
chonk,"Based on the words chunk and chunky, chonk is used affectionately to describe doggos who are chunky, pudgy, or slightly overweight. "
chonky,"Based on the words chunk and chunky, chonky is used affectionately to describe doggos who are chunky, pudgy, or slightly overweight. "
thicc,"Based on the word thick, thicc is used affectionately to describe doggos who are chunky, pudgy, or slightly overweight. "
cloud,"Super fluffy white doggo, especially the Samoyed, who could easily pass for a puffy and fluffy white cloud with legs."
cronch,"Alternative spelling of crunch. The sound made when something is crushed with teefs. Doggos love to cronch on plastic water bottles, ice, popcorn, etc."
danger noodle,"Snake, also known as a nope rope or snek"
nope rope,"Snake, also known as a nope rope or snek"
snek ,"Snake, also known as a nope rope or snek"
derp,"A derp is a goofy, silly looking facial expression or action that leaves your dog looking…well, derpy. You know, like when your dog’s eyes are crossed, and their tongue is hanging out – or when they fall asleep in a funny position."
derpy,"A derp is a goofy, silly looking facial expression or action that leaves your dog looking…well, derpy. You know, like when your dog’s eyes are crossed, and their tongue is hanging out – or when they fall asleep in a funny position."
doggo,affectionate term for dog
floof,"A remarkably fluffy Doggo, like the Old English Sheepdog, Husky, Pomeranian, etc. "
floofer,A big ol’ doggo with an abundance of fluffy fur – like the Newfoundland and the Tibetan Mastiff!
fren,A friend of doggo. Usually appears in memes as a greeting of sorts
gib,"Gib means give. Doggos like it when you gib them things – especially pats, huggos, snaccos, treatos, and belly rubs."
happ,Happy. All doggos want you to be as happ as them in everything you do.
henlo,Alternative spelling of hello. Doggos love saying henlo to everyone – and everything – they meet
hooman,"Dog’s best friend – the human, gibber of treatos and belly rubs."
loaf,A thicc or chonk doggo that looks like a loaf of bread.
long boi,"Long bodied doggos like the greyhound, borzoi, and even the smol long boi dachshund."
long boy,"Long bodied doggos like the greyhound, borzoi, and even the smol long boi dachshund."
mahm,"Mom – the lady who takes doggo to the park, gets them Puppucino, and slips them a bit of bacon at brunch"
